":@computed_region_dwzh_dtk5",":@computed_region_eziv_p4ck",":@computed_region_fk4y_hpmh",":@computed_region_kwzn_pe6v",":@computed_region_tmcg_v66k",":@computed_region_uh5x_q5mi","address_1","address_2","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"126","71","4","9","6","211","HOPKINS @ GOOD",,"15-0650868","BUFFALO",,,"2015-03-07T07:06:26.000","Friday","7","2015-03-06T07:35:15.000","ASSAULT","707535288","ASSAULT","42.8468872885107","POINT (-78.818186333039 42.846887288511)","-78.8181863330388","Assault","NY","2015-03-12T06:05:55.000",
"1088","39","2","11","9","6","600 Block AMHERST ST",,"18-0860829","BUFFALO","",,"2018-03-28T14:07:07.000","Tuesday","10","2006-02-21T10:16:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840205220","LARCENY/THEFT","42.93999218336202","POINT (-78.8157762658703 42.939992183362)","-78.81577626587033","Theft","NY","2018-04-04T03:42:10.000",
"2074","43","5","2","3","121","1 Block W DELAVAN AV",,"18-0880235","BUFFALO","",,"2018-03-29T14:38:13.000","Monday","12","2008-05-19T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840286437","LARCENY/THEFT","42.92180189220275","POINT (-78.8958289962696 42.9218018922028)","-78.89582899626964","Theft","NY","2018-04-06T09:41:14.000",
"1267","38","2","18","9","258","2100 Block MAIN ST",,"18-0830493","BUFFALO","",,"2018-03-25T20:25:50.000","Thursday","12","2017-03-16T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839242924","LARCENY/THEFT","42.92880507442883","POINT (-78.84993702635 42.9288050744288)","-78.84993702635","Theft","NY","2018-04-01T03:50:32.000",
"2507","28","3","8","2","221","400 Block GOETHE ST",,"18-0830398","BUFFALO","",,"2018-03-24T17:46:07.000","Saturday","12","2018-02-17T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839173281","LARCENY/THEFT","42.89645133401688","POINT (-78.7995278254838 42.8964513340169)","-78.79952782548384","Theft","NY","2018-04-01T03:50:32.000",
"2992","71","4","9","6","16","1 Block BLOOMFIELD AV",,"18-0830564","BUFFALO","",,"2018-03-24T21:16:43.000","Tuesday","12","2018-03-13T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182370","LARCENY/THEFT","42.84558863103382","POINT (-78.8225442474887 42.8455886310338)","-78.8225442474887","Theft","NY","2018-04-01T03:50:32.000",
,,,"6",,,"MAIN ST & BAILEY AV",,"15-0050333","BUFFALO",,,"2015-01-06T07:06:00.000","Wednesday","12","2014-10-01T12:00:00.000","UUV","653555213","UUV","42.9595218","POINT (-78.8138473 42.9595218)","-78.8138473","Theft of Vehicle","NY","2015-01-08T07:06:02.000","14215"
"1249","56","2","18","8","257","1 Block WINSPEAR AV",,"18-0830717","BUFFALO","",,"2018-03-26T06:07:08.000","Saturday","3","2018-03-17T03:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839299187","BURGLARY","42.95092311207288","POINT (-78.8240349902802 42.9509231120729)","-78.82403499028024","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"2744","43","5","2","3","121","1 Block LAFAYETTE AV",,"18-0830347","BUFFALO","",,"2018-03-24T17:46:07.000","Friday","1","2018-03-23T01:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839173280","BURGLARY","42.919823168632725","POINT (-78.896976347252 42.9198231686327)","-78.89697634725195","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"1538","44","4","9","6","82","1 Block CUMBERLAND AV",,"18-0830520","BUFFALO","",,"2018-03-24T21:16:43.000","Friday","2","2018-03-23T02:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182369","LARCENY/THEFT","42.85807531429012","POINT (-78.8216227266749 42.8580753142901)","-78.82162272667495","Theft","NY","2018-04-01T03:50:32.000",
"80","56","2","18","8","216","100 Block W NORTHRUP PL",,"18-0830783","BUFFALO","",,"2018-03-25T04:01:00.000","Friday","3","2018-03-23T03:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839200035","BURGLARY","42.95068789626519","POINT (-78.8313925281252 42.9506878962652)","-78.83139252812525","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"1002","35","1","14","4","153","800 Block ELLICOTT ST",,"18-0830345","BUFFALO","",,"2018-03-24T20:10:21.000","Friday","10","2018-03-23T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839180649","UUV","42.90053444734188","POINT (-78.8650426745302 42.9005344473419)","-78.86504267453017","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"2037","7","2","11","8","66","300 Block DARTMOUTH AV",,"18-0830443","BUFFALO","",,"2018-03-24T21:16:43.000","Friday","10","2018-03-23T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182368","LARCENY/THEFT","42.943208204461065","POINT (-78.8129499131828 42.9432082044611)","-78.81294991318279","Theft","NY","2018-04-01T03:50:32.000",
"2656","41","1","2","3","119","1 Block BREMEN ST",,"18-0830399","BUFFALO","",,"2018-03-24T19:04:53.000","Friday","11","2018-03-23T11:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839178845","LARCENY/THEFT","42.91057617425151","POINT (-78.8868508118052 42.9105761742515)","-78.8868508118052","Theft","NY","2018-04-01T03:50:32.000",
"2186","33","2","22","9","154","1 Block HUGHES AV",,"18-0830180","BUFFALO","",,"2018-03-24T13:42:14.000","Saturday","1","2018-03-24T01:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839165194","BURGLARY","42.92432641182128","POINT (-78.8525686136047 42.9243264118213)","-78.85256861360467","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"3046","16","2","11","9","285","700 Block E DELAVAN AV",,"15-2481192","BUFFALO",,,"2015-09-07T06:07:28.000","Saturday","12","2015-09-05T12:00:00.000","UUV","729564072","UUV","42.9223468619834","POINT (-78.829972057501 42.922346861983)","-78.8299720575015","Theft of Vehicle","NY","2015-09-12T06:08:42.000",
"2726","3","3","17","2","171","1000 Block E LOVEJOY ST",,"18-0830600","BUFFALO","",,"2018-03-24T23:04:20.000","Saturday","5","2018-03-24T05:17:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839186394","BURGLARY","42.8895482","POINT (-78.8104561 42.8895482)","-78.8104561","Breaking & Entering","NY","2018-04-01T03:50:32.000","14206"
"80","56","2","18","8","216","100 Block CUSTER ST",,"18-0830307","BUFFALO","",,"2018-03-24T16:50:11.000","Saturday","5","2018-03-24T05:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839171804","BURGLARY","42.95038631748629","POINT (-78.8312792599097 42.9503863174863)","-78.83127925990968","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"2059","31","4","16","5","38","100 Block FULTON ST",,"18-0830775","BUFFALO","",,"2018-03-28T15:40:52.000","Saturday","5","2018-03-24T05:32:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840211679","UUV","42.87271046634883","POINT (-78.8654383705783 42.8727104663488)","-78.8654383705783","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"207","59","2","22","9","4","300 Block NORTHLAND AV",,"18-0830625","BUFFALO","",,"2018-03-25T00:11:30.000","Saturday","5","2018-03-24T05:45:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839188326","ASSAULT","42.919507698527944","POINT (-78.8480675865779 42.9195076985279)","-78.84806758657786","Assault","NY","2018-04-01T03:50:32.000",
"2595","31","4","19","5","2","600 Block PERRY ST",,"18-0830742","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","6","2018-03-24T06:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206745","UUV","42.871712","POINT (-78.852415 42.871712)","-78.85241500000001","Theft of Vehicle","NY","2018-04-01T03:50:32.000","14210"
"2317","31","4","16","4","252","1 Block SPRING ST",,"18-0830819","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","9","2018-03-24T09:20:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206743","ROBBERY","42.87915076454229","POINT (-78.8573715740381 42.8791507645423)","-78.85737157403811","Robbery","NY","2018-04-01T03:50:32.000",
"2782","1","4","9","2","44","100 Block SPAULDING ST",,"18-0830601","BUFFALO","",,"2018-03-24T23:04:20.000","Saturday","10","2018-03-24T10:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839186393","BURGLARY","42.853700370177165","POINT (-78.8273864851453 42.8537003701772)","-78.82738648514527","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"952","74","4","9","6","167","1 Block CULVER RD",,"18-0830875","BUFFALO","",,"2018-03-25T06:40:36.000","Saturday","10","2018-03-24T10:45:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839206744","UUV","42.83936365691605","POINT (-78.8207678178963 42.839363656916)","-78.82076781789632","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"2447","34","3","8","5","264","1 Block BRIGHTON AV",,"18-0830319","BUFFALO","",,"2018-03-24T16:50:11.000","Saturday","11","2018-03-24T11:22:58.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839171805","UUV","42.89312224831036","POINT (-78.8310497411331 42.8931222483104)","-78.83104974113311","Theft of Vehicle","NY","2018-04-01T03:50:32.000",
"879","70","5","5","1","94","2300 Block DELAWARE AV",,"18-0830419","BUFFALO","",,"2018-03-24T21:16:43.000","Saturday","11","2018-03-24T11:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839182366","LARCENY/THEFT","42.948048823907335","POINT (-78.8688449435281 42.9480488239073)","-78.86884494352807","Theft","NY","2018-04-01T03:50:32.000",
"1667","34","3","17","5","251","1 Block WILSON ST",,"18-0830267","BUFFALO","",,"2018-03-24T15:56:04.000","Saturday","12","2018-03-24T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839170728","BURGLARY","42.88643401963668","POINT (-78.8403887338405 42.8864340196367)","-78.8403887338405","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"1466","28","3","8","5","228","1 Block SWINBURNE ST",,"18-0830355","BUFFALO","",,"2018-03-24T18:05:44.000","Saturday","12","2018-03-24T12:09:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839174191","BURGLARY","42.89341706159407","POINT (-78.8214228823681 42.8934170615941)","-78.82142288236807","Breaking & Entering","NY","2018-04-01T03:50:32.000",
"2708","25","1","22","4","160","200 Block RILEY ST",,"18-0930006","BUFFALO","",,"2018-04-03T06:44:00.000","Tuesday","12","2018-04-03T12:07:01.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841297392","ASSAULT","42.909587125019904","POINT (-78.8545574786299 42.9095871250199)","-78.85455747862993","Assault","NY","2018-04-11T01:22:46.000",
"176","26","3","4","5","139","1 Block MYERS ST",,"18-0870441","BUFFALO","",,"2018-03-28T23:30:40.000","Monday","12","2016-07-11T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840240669","LARCENY/THEFT","42.90262328038977","POINT (-78.840232040086 42.9026232803898)","-78.840232040086","Theft","NY","2018-04-05T07:07:13.000",
"2825","40","1","2","3","210","1 Block 18TH ST",,"18-0930581","BUFFALO","",,"2018-04-04T00:41:00.000","Friday","12","2016-01-01T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841581662","SEXUAL ABUSE","42.91260819649175","POINT (-78.8862635102928 42.9126081964918)","-78.88626351029279","Other Sexual Offense","NY","2018-04-11T01:22:46.000",
"156","60","3","17","5","7","200 Block HOWARD ST",,"18-0940975","BUFFALO","",,"2018-04-05T02:54:28.000","Sunday","12","2017-10-15T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841759662","LARCENY/THEFT","42.88313226740197","POINT (-78.8444046976328 42.883132267402)","-78.84440469763283","Theft","NY","2018-04-12T03:47:52.000",
"668","56","2","18","8","216","1 Block NORTHRUP PL",,"18-0840658","BUFFALO","",,"2018-03-26T09:44:19.000","Friday","12","2018-03-16T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839309355","BURGLARY","42.95009956909048","POINT (-78.824218542225 42.9500995690905)","-78.82421854222498","Breaking & Entering","NY","2018-04-02T04:43:25.000",
"2726","3","3","17","2","171","900 Block E LOVEJOY ST",,"18-0850323","BUFFALO","",,"2018-03-26T15:24:39.000","Saturday","1","2018-03-17T01:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839326076","LARCENY/THEFT","42.889486109490704","POINT (-78.8114818100553 42.8894861094907)","-78.81148181005531","Theft","NY","2018-04-03T06:30:50.000",
"1259","64","5","5","8","88","700 Block ST LAWRENCE AV",,"18-0840282","BUFFALO","",,"2018-03-25T16:20:23.000","Thursday","7","2018-03-22T07:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839233443","LARCENY/THEFT","42.955709675530024","POINT (-78.8435159103667 42.95570967553)","-78.84351591036669","Theft","NY","2018-04-02T04:43:25.000",
"1355","18","2","11","2","157","1100 Block E DELAVAN AV",,"18-0840639","BUFFALO","",,"2018-03-25T22:43:13.000","Thursday","10","2018-03-22T10:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839247216","LARCENY/THEFT","42.92235017034333","POINT (-78.815261908177 42.9223501703433)","-78.81526190817699","Theft","NY","2018-04-02T04:43:25.000",
"936","36","5","5","7","37","1900 Block DELAWARE AV",,"18-0850918","BUFFALO","",,"2018-03-27T02:15:52.000","Thursday","12","2018-03-22T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839435789","LARCENY/THEFT","42.938038031863165","POINT (-78.8671181674025 42.9380380318632)","-78.86711816740251","Theft","NY","2018-04-03T06:30:50.000",
"915","16","2","11","9","285","1 Block DEERFIELD AV",,"18-0850747","BUFFALO","",,"2018-03-27T13:25:45.000","Friday","1","2018-03-23T01:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839473778","BURGLARY","42.923560311907124","POINT (-78.8271020130606 42.9235603119071)","-78.82710201306064","Breaking & Entering","NY","2018-04-03T06:30:50.000",
"1643","24","2","11","8","277","1 Block W CLEVELAND DR",,"18-0850632","BUFFALO","",,"2018-03-26T21:56:15.000","Friday","8","2018-03-23T08:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839417899","LARCENY/THEFT","42.94081604772266","POINT (-78.8014756186659 42.9408160477227)","-78.80147561866588","Theft","NY","2018-04-03T06:30:50.000",
"2364","57","5","10","1","218","1 Block JASPER PARRISH DR",,"18-0850694","BUFFALO","",,"2018-03-27T00:59:19.000","Friday","8","2018-03-23T08:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839430931","SEXUAL ABUSE","42.94783360707606","POINT (-78.8884531309879 42.9478336070761)","-78.88845313098794","Other Sexual Offense","NY","2018-04-03T06:30:50.000",
"2212","47","2","4","9","161","500 Block NORTHLAND AV",,"18-0840412","BUFFALO","",,"2018-03-25T20:25:50.000","Saturday","2","2018-03-24T02:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839242923","BURGLARY","42.91883976621577","POINT (-78.8401500646055 42.9188397662158)","-78.84015006460551","Breaking & Entering","NY","2018-04-02T04:43:25.000",
"2493","28","3","8","5","267","1300 Block BROADWAY",,"18-0850403","BUFFALO","",,"2018-03-26T17:58:13.000","Saturday","7","2018-03-24T07:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839343506","LARCENY/THEFT","42.89513763577373","POINT (-78.8252733599801 42.8951376357737)","-78.8252733599801","Theft","NY","2018-04-03T06:30:49.000",
"3285","29","5","18","7","237","100 Block HUMBOLDT PW",,"18-0850503","BUFFALO","",,"2018-03-26T21:56:16.000","Saturday","7","2018-03-24T07:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839417901","UUV","42.92789515702838","POINT (-78.8518373800042 42.9278951570284)","-78.85183738000424","Theft of Vehicle","NY","2018-04-03T06:30:04.000",
"1657","38","5","18","7","275","200 Block PARKSIDE AV",,"18-0840112","BUFFALO","",,"2018-03-25T09:23:29.000","Sunday","2","2018-03-25T02:35:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839215182","BURGLARY","42.93651377555571","POINT (-78.8506051264038 42.9365137755557)","-78.85060512640382","Breaking & Entering","NY","2018-04-02T04:43:25.000",
"2589","62","3","8","5","271","1200 Block BROADWAY",,"18-0850671","BUFFALO","",,"2018-03-26T21:56:15.000","Sunday","3","2018-03-25T03:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839417900","ROBBERY","42.894852250787515","POINT (-78.8304222449019 42.8948522507875)","-78.83042224490192","Robbery","NY","2018-04-03T06:30:50.000",
"3071","40","1","12","3","268","400 Block RICHMOND AV",,"18-0840859","BUFFALO","",,"2018-03-26T04:53:26.000","Sunday","10","2018-03-25T10:45:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839261580","UUV","42.91336118770414","POINT (-78.8816382785667 42.9133611877041)","-78.88163827856671","Theft of Vehicle","NY","2018-04-02T04:43:25.000",
"1368","26","3","8","4","238","1 Block JOHNSON ST",,"18-0850565","BUFFALO","",,"2018-03-26T22:42:55.000","Sunday","11","2018-03-25T11:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839421206","LARCENY/THEFT","42.8914806","POINT (-78.8480864 42.8914806)","-78.8480864","Theft","NY","2018-04-03T06:30:49.000","14212"
"532","39","2","11","8","48","300 Block AMHERST ST",,"18-0840890","BUFFALO","",,"2018-03-26T06:07:08.000","Sunday","11","2018-03-25T11:52:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839299189","LARCENY/THEFT","42.93983903325543","POINT (-78.8235063125131 42.9398390332554)","-78.82350631251313","Theft","NY","2018-04-02T04:43:25.000",
"3159","61","1","12","7","140","DELAWARE ST & W FERRY",,"18-0850698","BUFFALO","",,"2018-03-26T23:23:52.000","Monday","5","2018-03-26T05:27:54.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839426479","ASSAULT","42.915368469365184","POINT (-78.8692166668605 42.9153684693652)","-78.86921666686048","Assault","NY","2018-04-03T06:30:50.000",
"3241","19","2","18","9","151","100 Block WAKEFIELD AV",,"18-0850789","BUFFALO","",,"2018-03-28T06:16:53.000","Monday","5","2018-03-26T05:30:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840181048","ASSAULT","42.93419460214471","POINT (-78.8326333123293 42.9341946021447)","-78.83263331232934","Assault","NY","2018-04-03T06:30:50.000",
"1626","4","3","4","9","230","700 Block NORTHAMPTON ST",,"18-0850261","BUFFALO","",,"2018-03-26T16:45:51.000","Monday","9","2018-03-26T09:47:29.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839329746","LARCENY/THEFT","42.907068321225395","POINT (-78.8402504977045 42.9070683212254)","-78.8402504977045","Theft","NY","2018-04-03T06:30:49.000",
"1002","35","1","14","4","153","NORTHAMPTON ST & ELLICOTT ST",,"18-0850481","BUFFALO","",,"2018-03-26T20:16:06.000","Monday","10","2018-03-26T10:10:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839367927","ASSAULT","42.90053444734188","POINT (-78.8650426745302 42.9005344473419)","-78.86504267453017","Assault","NY","2018-04-03T06:30:49.000",
"720","65","3","22","4","259","1 Block BROOKLYN ST",,"18-0850974","BUFFALO","",,"2018-03-27T06:04:30.000","Monday","10","2018-03-26T10:35:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839449024","ASSAULT","42.91157165196693","POINT (-78.8507586299708 42.9115716519669)","-78.85075862997084","Assault","NY","2018-04-03T06:30:50.000",
"1088","39","2","11","9","6","600 Block AMHERST ST",,"18-0851032","BUFFALO","",,"2018-03-27T07:16:32.000","Monday","11","2018-03-26T11:20:42.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839452901","LARCENY/THEFT","42.93999218336202","POINT (-78.8157762658703 42.939992183362)","-78.81577626587033","Theft","NY","2018-04-03T06:30:50.000",
"293","26","3","4","4","238","200 Block JOHNSON ST",,"18-0850269","BUFFALO","",,"2018-03-26T16:45:51.000","Monday","12","2018-03-26T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","839329747","LARCENY/THEFT","42.896924179629494","POINT (-78.8486800417279 42.8969241796295)","-78.84868004172789","Theft","NY","2018-04-03T06:30:49.000",
"1609","76","5","12","7","95","1 Block CLAREMONT AV",,"18-0910478","BUFFALO","",,"2018-04-01T22:59:25.000","Saturday","8","2018-03-31T08:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840947993","LARCENY/THEFT","42.92370923562828","POINT (-78.8802320864747 42.9237092356283)","-78.88023208647472","Theft","NY","2018-04-03T11:44:12.000",
"2086","44","4","9","6","232","1 Block STEVENSON ST",,"18-0920875","BUFFALO","",,"2018-04-03T06:44:00.000","Monday","11","2018-04-02T11:35:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841297390","ASSAULT","42.85476177315909","POINT (-78.8184399374436 42.8547617731591)","-78.81843993744356","Assault","NY","2018-04-03T09:13:56.000",
"678","66","3","8","5","245","100 Block HIRSCHBECK ST",,"18-0950236","BUFFALO","",,"2018-04-05T16:32:45.000","Saturday","2","2018-03-31T02:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841806511","BURGLARY","42.89954448750994","POINT (-78.8172664287342 42.8995444875099)","-78.81726642873424","Breaking & Entering","NY","2018-04-13T03:23:41.000",
"2657","69","1","2","3","144","700 Block NIAGARA ST",,"18-0950229","BUFFALO","",,"2018-04-05T15:10:10.000","Sunday","12","2018-04-01T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841801356","SEXUAL ABUSE","42.905257687131325","POINT (-78.8953348428769 42.9052576871313)","-78.89533484287695","Other Sexual Offense","NY","2018-04-13T03:23:41.000",
"3280","60","3","8","4","184","200 Block SHERMAN ST",,"18-0941162","BUFFALO","",,"2018-04-05T06:35:12.000","Wednesday","7","2018-04-04T07:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841769946","UUV","42.8903422887678","POINT (-78.8471964971806 42.8903422887678)","-78.84719649718063","Theft of Vehicle","NY","2018-04-12T03:47:52.000",
"1088","39","2","11","9","6","600 Block AMHERST ST",,"18-0941143","BUFFALO","",,"2018-04-05T03:54:17.000","Wednesday","8","2018-04-04T08:07:21.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841761738","LARCENY/THEFT","42.93999218336202","POINT (-78.8157762658703 42.939992183362)","-78.81577626587033","Theft","NY","2018-04-12T03:47:52.000",
"3045","56","2","11","8","257","200 Block LISBON AV",,"18-0950045","BUFFALO","",,"2018-04-05T08:45:47.000","Thursday","1","2018-04-05T01:14:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","841775743","RAPE","42.947694877860755","POINT (-78.8194656199271 42.9476948778608)","-78.81946561992707","Sexual Assault","NY","2018-04-13T03:23:41.000",
"2746","70","5","5","1","94","100 Block LEDGER ST",,"18-0860456","BUFFALO","",,"2018-03-27T22:34:39.000","Wednesday","12","2017-11-01T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840156725","LARCENY/THEFT","42.94713048490088","POINT (-78.8739577040703 42.9471304849009)","-78.87395770407032","Theft","NY","2018-04-04T03:42:10.000",
"1020","5","5","10","1","54","1 Block EVELYN ST",,"18-0890216","BUFFALO","",,"2018-03-30T16:16:50.000","Friday","12","2017-12-01T12:00:00.000","Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.","840798020","LARCENY/THEFT","42.95902828047874","POINT (-78.8986697031544 42.9590282804787)","-78.89866970315437","Theft","NY","2018-04-07T07:14:22.000",
